date,deal,amount,open,high,low,close,RD,volume,MA5,MA10,MA20,MA30,SMA5,SMA10,SMA20,SMA30,EMA5,EMA10,EMA20,EMA30,WMA5,WMA10,WMA20,WMA30,next_high,next_low,change_n_pct,signal,high_max,threshold,target,upper_band,middle_band,lower_band
2010-02-04,46032165,2726713591,60.0,60.0,59.0,59.1,-0.7,11819,59.84000000000002,60.04,61.64999999999998,,59.84000000000002,60.04,61.64999999999998,,59.64150161015361,60.26214859841331,61.60754258770779,,59.519999999999975,59.80727272727273,60.755714285714284,,63.237,54.963,-2.8764805414551655,0,59.1,61.464000000000006,0.0,65.1482852942566,61.64999999999998,58.15171470574336
2010-02-05,66295018,3811514312,57.6,57.9,57.2,57.2,-1.9,18203,58.98000000000002,59.65,61.30999999999998,,58.98000000000002,59.65,61.30999999999998,,58.827667740102406,59.70539430779271,61.187776626973715,,58.63999999999997,59.29090909090909,60.33190476190476,,61.20400000000001,53.196000000000005,2.447552447552445,0,58.6,59.48800000000001,0.024475524475524448,65.13512744885811,61.30999999999998,57.484872551141855
2010-02-06,16391569,948580952,57.6,58.1,57.3,58.0,0.8,5867,58.62000000000002,59.410000000000004,60.98499999999998,,58.62000000000002,59.410000000000004,60.98499999999998,,58.551778493401606,59.39532261546676,60.88417885297622,,58.313333333333304,58.99090909090909,60.016666666666666,,62.06,53.940000000000005,0.6896551724137907,0,58.6,60.32,0.01034482758620692,64.77513192382663,60.98499999999998,57.194868076173314
2010-02-08,45835431,2635605686,58.0,58.2,57.0,57.4,-0.6,11834,58.30000000000001,59.14,60.67499999999999,,58.30000000000001,59.14,60.67499999999999,,58.1678523289344,59.03253668538189,60.552352295549916,,57.90666666666664,58.625454545454545,59.6752380952381,,61.418,53.382000000000005,2.7874564459930338,0,59.0,59.696,0.027874564459930338,64.57160108299563,60.67499999999999,56.778398917004345
2010-02-09,49551665,2905054055,58.4,59.2,57.7,58.6,1.2,10807,58.06000000000002,59.04,60.46499999999999,,58.06000000000002,59.04,60.46499999999999,,58.311901552622935,58.9538936516761,60.36641398168802,,58.00666666666664,58.527272727272724,59.47761904761905,,62.702000000000005,54.498000000000005,2.047781569965863,0,59.8,60.944,0.02047781569965863,64.33347515178846,60.46499999999999,56.59652484821151
2010-02-10,53809831,3156970629,59.0,59.2,58.2,58.4,-0.2,13992,57.920000000000016,58.879999999999995,60.22499999999999,,57.920000000000016,58.879999999999995,60.22499999999999,,58.34126770174862,58.85318571500772,60.17913645962249,,58.11999999999997,58.41090909090909,59.28095238095239,,62.488,54.312000000000005,0.1712328767123312,0,59.8,60.736,0.023972602739726005,63.97886467523857,60.22499999999999,56.471135324761406
2010-02-22,49684787,2964348523,60.5,60.5,59.0,59.0,0.6,15040,58.280000000000015,58.629999999999995,59.999999999999986,61.336666666666666,58.280000000000015,58.629999999999995,59.999999999999986,61.336666666666666,58.56084513449908,58.879879221369954,60.066837749182255,61.336666666666666,58.479999999999976,58.43272727272728,59.164285714285725,60.060860215053765,63.13,54.870000000000005,-1.3559322033898256,0,59.8,61.36,0.013559322033898256,63.470446657132946,59.999999999999986,56.529553342867025
2010-02-23,52030754,3098100688,59.6,59.9,59.1,59.8,0.8,11574,58.64000000000002,58.629999999999995,59.844999999999985,61.16666666666666,58.64000000000002,58.629999999999995,59.844999999999985,61.16666666666666,58.97389675633272,59.047173908393596,60.04142463021252,61.23752688172043,58.98666666666664,58.64545454545455,59.145238095238106,59.961720430107526,63.986000000000004,55.614,-1.6722408026755853,0,59.8,62.192,0.0,63.05029249835388,59.844999999999985,56.639707501646086
2010-02-24,60489712,3559090588,59.2,59.2,58.4,58.5,-1.3,13513,58.860000000000014,58.58,59.64499999999998,60.96666666666666,58.860000000000014,58.58,59.64499999999998,60.96666666666666,58.81593117088848,58.94768774323112,59.89462228447799,61.06091224419008,58.939999999999976,58.62181818181818,59.017142857142865,59.78967741935484,62.595000000000006,54.405,1.8803418803418828,0,59.6,60.84,0.018803418803418827,62.6559633010057,59.64499999999998,56.634036698994265
2010-02-25,57502162,3357159422,58.5,58.9,57.9,58.2,-0.3,12447,58.780000000000015,58.42,59.40499999999999,60.743333333333325,58.780000000000015,58.42,59.40499999999999,60.743333333333325,58.61062078059232,58.8117445171891,59.733229685956275,60.876337260693944,58.719999999999985,58.55272727272727,58.879523809523825,59.61118279569892,62.27400000000001,54.126000000000005,2.920962199312707,0,59.9,60.528000000000006,0.029209621993127072,62.05111035295224,59.40499999999999,56.75888964704773
2010-02-26,31376014,1835097974,58.2,58.9,58.0,58.8,0.6,8183,58.860000000000014,58.39,59.21499999999999,60.56333333333332,58.860000000000014,58.39,59.21499999999999,60.56333333333332,58.673747187061544,58.80960915042744,59.644350668246155,60.74238001806853,58.72666666666665,58.62181818181818,58.821904761904776,59.48580645161291,62.916000000000004,54.684,2.040816326530617,0,60.0,61.152,0.020408163265306173,61.426130932352024,59.21499999999999,57.003869067647955
2010-03-01,65860360,3910413197,59.5,59.9,58.2,59.6,0.8,14348,58.98000000000002,58.629999999999995,59.139999999999986,60.41666666666665,58.98000000000002,58.629999999999995,59.139999999999986,60.41666666666665,58.982498124707696,58.95331657762245,59.64012679507985,60.668678081418946,58.973333333333315,58.84181818181818,58.858571428571445,59.42365591397849,63.772000000000006,55.428000000000004,-0.671140939597313,0,60.0,61.984,0.00671140939597313,61.185873896408154,59.139999999999986,57.09412610359182
